id,group,label,links
"Abbas,James",IAFSE,"Abbas,James",4
"Abbaszadegan,Morteza",IAFSE,"Abbaszadegan,Morteza",4
"Abbott,David Ralph",CLAS,"Abbott,David Ralph",3
"Abbott,Joshua K",GIOS,"Abbott,Joshua K",2
"Abdelmonem,Angie",CLAS,"Abdelmonem,Angie",0
"Aberle,James T",IAFSE,"Aberle,James T",2
"Abry,Tashia",CLAS,"Abry,Tashia",2
"Adame,Bradley Joseph",CLAS,"Adame,Bradley Joseph",2
"Adams,Gary B",CLAS,"Adams,Gary B",1
"Adams,James Brewster",IAFSE,"Adams,James Brewster",3
"Adams,Jeffrey M",CONHI,"Adams,Jeffrey M",1
"Adams,Marc Anthony",CHS,"Adams,Marc Anthony",3
"Adamson,Eric Thomas",CLAS,"Adamson,Eric Thomas",1
"Adamson,Joni Lynn",CLAS,"Adamson,Joni Lynn",1
"Adelman,Madelaine Beth",CLAS,"Adelman,Madelaine Beth",1
"Adrian,Ronald John",IAFSE,"Adrian,Ronald John",1
"Aggarwal,Rimjhim M",GIOS,"Aggarwal,Rimjhim M",6
"Agusdinata,Buyung",GIOS,"Agusdinata,Buyung",2
"Ahn,Gail-Joon",IAFSE,"Ahn,Gail-Joon",8
"Ainsworth,Barbara Ellen",CHS,"Ainsworth,Barbara Ellen",2
"Aktipis,C Athena",CLAS,"Aktipis,C Athena",1
"Alarcon,Ricardo O",CLAS,"Alarcon,Ricardo O",2
"Alford,Eddie Jim",CISA,"Alford,Eddie Jim",1
"Alford,Terry Lynn",IAFSE,"Alford,Terry Lynn",3
"Allee,David Ray",IAFSE,"Allee,David Ray",1
"Allen,Daniel",CISA,"Allen,Daniel",2
"Allen,James Paul",CLAS,"Allen,James Paul",1
"Alum,Absar",IAFSE,"Alum,Absar",1
"Amazeen,Eric",CLAS,"Amazeen,Eric",1
"Amdam,Gro Vang",CLAS,"Amdam,Gro Vang",1
"Ames,Victoria E",LAW,"Ames,Victoria E",2
"Amparano,Julie A",ARTS,"Amparano,Julie A",1
"Amresh,Ashish",IAFSE,"Amresh,Ashish",4
"Anbar,Ariel David",CLAS,"Anbar,Ariel David",4
"Andereck,Kathleen L",PUBSRV,"Andereck,Kathleen L",1
"Anderies,John M",CLAS,"Anderies,John M",3
"Anderson-Rowland,Mary Ruth",IAFSE,"Anderson-Rowland,Mary Ruth",1
"Anderson,James R",IAFSE,"Anderson,James R",1
"Anderson,Karen S",CLAS,"Anderson,Karen S",4
"Andino,Jean M",IAFSE,"Andino,Jean M",2
"Androff Jr,David Kime",PUBSRV,"Androff Jr,David Kime",2
"Angadi,Siddhartha Subhashchand",CHS,"Angadi,Siddhartha Subhashchand",3
"Angell,Charles Austen",CLAS,"Angell,Charles Austen",1
"Angilletta,Michael",CLAS,"Angilletta,Michael",2
"Ankeny,Casey J",IAFSE,"Ankeny,Casey J",1
"Anokye,Akua D",ARTS,"Anokye,Akua D",1
"Anselin,Luc E",CLAS,"Anselin,Luc E",1
